Mean nominal monthly earnings of employees by sex and economic activity (local currency),,,,,,,,,,,,
Reference area,Source,Sex,Time,Total,Agriculture,Manufacturing,Construction,"Mining and quarrying; Electricity, gas and water supply","Trade, Transportation, Accommodation and Food, and Business and Administrative Services","Public Administration, Community, Social and other Services and Activities",Not classified,
Canada,LFS - Labour Force Survey,Female,2022Q3,4443.52,2886.13,4575.30,4741.26,7369.89,4197.74,4552.47,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Canadian Dollar 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Canada,LFS - Labour Force Survey,Total,2022Q4,5088.39,3627.14,5354.76,6008.42,8348.96,4923.33,4840.53,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Canadian Dollar 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Canada,LFS - Labour Force Survey,Male,2022Q4,5674.95,4061.12,5619.95,6192.15,8667.72,5499.78,5364.38,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Canadian Dollar 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Canada,LFS - Labour Force Survey,Female,2022Q4,4480.91,2846.68,4708.00,4783.51,7246.73,4259.42,4566.50,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Canadian Dollar 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Total,2019Q3,1258422.08,814089.48,1189504.62,1149254.97,1800911.92,1209334.85,1540920.67,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Male,2019Q3,1281358.13,823006.68,1231236.85,1107640.49,1797448.04,1272514.83,1933416.80,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Female,2019Q3,1226857.35,721941.21,1120175.53,1496252.48,1816103.66,1127308.62,1350322.03,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Total,2019Q4,1221105.78,831059.42,1151547.82,1120435.10,1771470.38,1154421.20,1522851.61,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Male,2019Q4,1243597.14,849104.34,1193427.32,1073531.48,1669441.66,1211476.69,1909801.46,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Female,2019Q4,1190279.38,695236.53,1076885.86,1613519.48,2219037.13,1084447.53,1329992.41,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Total,2020Q4,1284190.69,830498.11,1221734.51,1051105.55,1599374.69,1209056.46,1693684.66,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Male,2020Q4,1268292.35,839074.89,1248131.49,985001.63,1517132.60,1245759.63,2061872.89,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Female,2020Q4,1307528.77,762306.76,1165703.85,1612914.87,2035291.49,1162000.61,1504230.44,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Total,2021Q1,1251918.25,853111.56,1157771.64,1114806.32,1535645.46,1183407.23,1624676.66,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Male,2021Q1,1249562.69,864959.94,1184502.22,1060954.96,1503223.20,1218825.54,1992397.36,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Female,2021Q1,1255273.58,773653.84,1103034.57,1584682.31,1725316.95,1139276.18,1443021.54,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Total,2021Q2,1269627.82,846451.05,1173814.01,1081242.11,1593288.32,1181441.72,1683151.60,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Male,2021Q2,1260203.66,856583.01,1193677.23,1045770.16,1539607.48,1228448.49,2039748.27,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Female,2021Q2,1283189.54,765070.17,1137259.92,1474420.19,1938831.87,1121172.20,1512034.56,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Total,2021Q3,1249618.12,856874.07,1178322.71,1084091.39,1692106.59,1175664.79,1593033.85,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Male,2021Q3,1258345.55,861493.99,1227712.97,1038811.14,1732012.44,1215945.26,1946448.49,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Female,2021Q3,1236870.69,818710.00,1078229.68,1554189.34,1538197.29,1122692.36,1408784.86,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Total,2021Q4,1272302.28,829705.56,1241106.29,1071309.14,1494217.79,1202341.53,1659267.78,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Male,2021Q4,1268253.61,845838.21,1269477.82,1010067.93,1434682.60,1249406.16,2038116.65,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Female,2021Q4,1278013.33,725133.47,1183941.71,1683487.33,1784697.25,1145202.81,1470372.83,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Total,2022Q1,1560139.79,1026551.37,1371319.01,1303121.47,1832766.86,1480200.22,1906029.94,3850706.99,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Male,2022Q1,1615973.99,1021181.88,1392376.43,1245731.36,1809262.60,1564532.84,2388767.22,1272352.38,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Female,2022Q1,1493693.72,1042253.66,1333080.74,1717660.10,1936823.26,1377672.87,1664548.24,4511910.42,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Total,2022Q2,1615537.43,1125239.99,1509975.34,1373763.93,1826752.81,1514468.62,1947574.08,1588916.96,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Male,2022Q2,1661992.95,1135984.87,1538150.71,1286703.85,1760895.01,1577973.01,2443177.90,2230204.57,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Female,2022Q2,1560789.01,1097517.37,1459779.33,1974506.12,2100957.04,1433090.61,1714080.20,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Total,2022Q3,1648517.13,1164189.27,1507726.53,1331540.95,2035089.49,1559375.20,1982622.77,2900080.72,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Male,2022Q3,1719726.90,1166173.85,1578569.37,1261008.43,1929369.30,1646877.10,2514425.40,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Colombia,LFS - Gran Encuesta Integrada de Hogares,Female,2022Q3,1564555.15,1159044.74,1382162.58,1850683.21,2545839.46,1452233.28,1722927.26,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Colombian peso 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Monthly"
Egypt,LFS - Labour Force Sample Survey,Total,2019Q3,2660.61,2629.24,2467.10,3148.49,3033.21,2652.01,2465.74,3085.16,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Male,2019Q3,2724.96,2665.21,2522.95,3149.90,3041.17,2680.56,2555.48,3285.26,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Female,2019Q3,2265.63,1971.08,1881.89,3001.11,2945.29,2283.65,2308.37,2430.91,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Total,2019Q4,2700.89,2751.90,2571.84,3039.29,3165.75,2747.67,2499.80,3043.37,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Male,2019Q4,2787.30,2802.71,2646.16,3047.06,3166.28,2802.54,2634.08,3156.27,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Female,2019Q4,2169.06,1874.96,1841.84,2386.08,3154.89,2068.16,2254.27,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Total,2020Q1,2698.75,2331.68,2603.73,3413.03,3170.74,2794.89,2537.44,3305.85,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Male,2020Q1,2793.31,2392.52,2669.99,3417.93,3183.86,2837.24,2678.93,3604.60,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Female,2020Q1,2262.63,1750.54,1903.40,3176.13,2910.58,2322.04,2297.56,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Total,2020Q2,2610.38,2219.22,2559.74,3222.98,3030.67,2613.85,2523.62,2455.18,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Male,2020Q2,2672.33,2243.24,2609.86,3238.59,3042.13,2631.33,2620.17,2482.46,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Female,2020Q2,2325.10,1972.54,1856.75,2508.04,2860.11,2372.84,2359.09,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Total,2020Q3,2701.25,2398.28,2548.51,3325.93,3006.73,2766.09,2620.42,3500.38,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Male,2020Q3,2767.86,2416.28,2594.86,3341.50,3017.40,2800.22,2735.04,3437.91,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Female,2020Q3,2406.21,2145.87,1969.12,2537.23,2906.57,2402.26,2442.24,3833.25,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Total,2020Q4,2801.99,2867.97,2662.55,3641.11,3121.00,2859.43,2613.74,3172.77,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Male,2020Q4,2890.71,2910.70,2719.87,3601.51,3093.75,2896.81,2755.74,3274.28,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Female,2020Q4,2402.07,2135.64,2015.78,5814.99,3572.55,2444.56,2397.45,2393.86,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Total,2021Q1,2858.72,2764.32,2686.34,3747.25,3085.47,2904.07,2734.47,3222.62,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Male,2021Q1,2937.89,2799.00,2733.14,3735.00,3073.85,2941.10,2873.73,3131.28,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Female,2021Q1,2520.12,2067.77,2129.53,4238.04,3256.93,2517.51,2535.60,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Total,2021Q2,2861.87,2718.83,2723.06,3511.28,3188.78,2917.71,2756.62,2620.58,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Male,2021Q2,2936.55,2762.09,2770.73,3522.66,3190.27,2955.43,2876.67,2620.58,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Female,2021Q2,2539.15,2258.02,2175.44,2931.77,3171.28,2554.97,2570.82,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Total,2021Q3,2978.36,2831.76,2787.10,3700.46,3408.17,2996.76,2895.99,3374.13,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Male,2021Q3,3033.50,2871.74,2823.42,3709.58,3421.00,3013.23,2990.20,3384.78,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Female,2021Q3,2739.96,2332.15,2319.32,3360.94,3266.25,2805.34,2757.47,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Total,2021Q4,2964.18,2818.97,2837.27,3504.11,3334.65,2960.58,2910.35,3811.22,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Male,2021Q4,3026.66,2883.54,2884.07,3514.97,3350.14,2987.62,3017.34,3971.18,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Egypt,LFS - Labour Force Sample Survey,Female,2021Q4,2691.61,2195.61,2248.70,2922.03,3086.00,2682.81,2745.95,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Egyptian pound 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
France,LFS - Enquête sur l'emploi,Total,2019Q3,1974.74,1427.91,2193.11,1942.01,2440.53,2084.33,1791.95,1818.52,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
France,LFS - Enquête sur l'emploi,Male,2019Q3,2220.52,1504.05,2314.96,1962.43,2568.64,2314.63,2110.29,2005.36,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
France,LFS - Enquête sur l'emploi,Female,2019Q3,1731.51,1274.63,1920.49,1768.57,2052.15,1807.23,1655.97,1571.53,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
France,LFS - Enquête sur l'emploi,Total,2019Q4,2008.25,1675.47,2382.59,2047.52,2529.94,2105.75,1783.60,1858.75,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
France,LFS - Enquête sur l'emploi,Male,2019Q4,2268.54,1819.36,2528.25,2070.89,2608.09,2314.84,2096.84,2033.71,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
France,LFS - Enquête sur l'emploi,Female,2019Q4,1749.57,1373.58,2029.79,1846.21,2180.99,1859.28,1641.35,1683.38,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
France,LFS - Enquête sur l'emploi,Total,2020Q1,1998.35,1434.62,2240.08,1898.22,2488.35,2134.12,1795.39,1945.95,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
France,LFS - Enquête sur l'emploi,Male,2020Q1,2235.32,1400.74,2350.54,1923.47,2533.53,2360.26,2103.22,2140.43,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
France,LFS - Enquête sur l'emploi,Female,2020Q1,1756.76,1494.10,1952.26,1719.52,2353.88,1873.29,1644.34,1736.91,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
France,LFS - Enquête sur l'emploi,Total,2020Q3,1980.04,1387.97,2238.02,1929.37,2309.02,2072.65,1817.16,1656.37,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
France,LFS - Enquête sur l'emploi,Male,2020Q3,2198.69,1447.55,2339.71,1970.68,2278.40,2279.20,2114.45,1820.20,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
France,LFS - Enquête sur l'emploi,Female,2020Q3,1760.25,1275.87,1985.99,1609.41,2388.44,1831.98,1684.18,1368.01,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
France,LFS - Enquête sur l'emploi,Total,2020Q4,2039.65,1435.86,2288.72,2043.10,2329.61,2186.60,1824.49,1828.39,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
France,LFS - Enquête sur l'emploi,Male,2020Q4,2295.18,1478.85,2424.00,2054.86,2506.14,2424.74,2131.49,1918.80,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
France,LFS - Enquête sur l'emploi,Female,2020Q4,1796.49,1351.46,1981.28,1953.15,1864.71,1916.28,1691.20,1720.04,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Greece,LFS - Labour Force Survey,Total,2019Q3,876.77,648.29,856.98,779.35,1052.41,789.34,1000.47,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Greece,LFS - Labour Force Survey,Male,2019Q3,936.50,662.59,892.42,776.42,1074.31,859.84,1106.77,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Greece,LFS - Labour Force Survey,Female,2019Q3,808.63,609.92,773.34,815.17,993.99,714.57,917.21,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Greece,LFS - Labour Force Survey,Total,2019Q4,884.00,644.07,836.85,803.22,1045.88,804.58,998.20,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Greece,LFS - Labour Force Survey,Male,2019Q4,946.07,653.68,874.43,780.96,1068.09,880.64,1106.61,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Greece,LFS - Labour Force Survey,Female,2019Q4,811.78,613.93,748.60,1064.20,961.18,719.78,912.91,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Greece,LFS - Labour Force Survey,Total,2020Q1,890.26,673.22,856.30,831.02,1055.60,811.50,995.21,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Greece,LFS - Labour Force Survey,Male,2020Q1,956.38,707.64,892.09,795.13,1102.53,893.77,1099.98,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Greece,LFS - Labour Force Survey,Female,2020Q1,818.90,579.26,780.35,1091.02,878.29,725.76,918.32,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Greece,LFS - Labour Force Survey,Total,2020Q2,905.80,648.34,872.57,826.09,1012.89,834.12,1001.59,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Greece,LFS - Labour Force Survey,Male,2020Q2,964.79,670.95,901.48,817.26,1076.69,909.25,1098.88,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Greece,LFS - Labour Force Survey,Female,2020Q2,837.71,573.86,805.63,913.33,841.06,748.54,926.32,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Greece,LFS - Labour Force Survey,Total,2020Q3,904.16,670.28,849.28,836.64,1016.90,831.22,1018.89,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Greece,LFS - Labour Force Survey,Male,2020Q3,957.57,687.07,910.63,820.41,1046.13,897.80,1096.22,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Greece,LFS - Labour Force Survey,Female,2020Q3,842.26,630.31,718.95,993.03,925.11,756.76,956.76,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Greece,LFS - Labour Force Survey,Total,2020Q4,923.84,661.85,862.73,808.64,1013.83,854.89,1033.82,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Greece,LFS - Labour Force Survey,Male,2020Q4,976.39,672.38,913.48,798.57,1074.31,922.56,1118.99,,"Notes

Average monthly earnings of employees (local currency) 
-Currency unit: Euro 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
